rule_id,rule_citation,rule_name,rule_requirement,effective_date,regulatory_authority,parent_section_id,parent_rule_part_id,regional_standard_regulation_id
RULE-5-04,4 CCR 904-3 Rule 5.04,Default Settings,Governs default settings for Universal Opt-Out Mechanisms so they reflect the Consumer's affirmative choice,2024-07-01,Colorado Attorney General,SECTION-6-1-1306,RULE-PART-5,CPA 1.0
RULE-5-05,4 CCR 904-3 Rule 5.05,Personal Data Use Limitations,Limits how providers of Universal Opt-Out Mechanisms may use Personal Data collected through the mechanism,2024-07-01,Colorado Attorney General,SECTION-6-1-1306,RULE-PART-5,CPA 1.0
RULE-5-06,4 CCR 904-3 Rule 5.06,Technical Specification,Sets technical specifications for Universal Opt-Out Mechanisms,2024-07-01,Colorado Attorney General,SECTION-6-1-1306,RULE-PART-5,CPA 1.0
RULE-5-07,4 CCR 904-3 Rule 5.07,System for Recognizing Universal Opt-Out Mechanisms,Establishes the process and public list for recognizing Universal Opt-Out Mechanisms,2024-07-01,Colorado Attorney General,SECTION-6-1-1306,RULE-PART-5,CPA 1.0
RULE-5-08,4 CCR 904-3 Rule 5.08,Obligations on Controllers,Sets Controller obligations to recognize and honor Universal Opt-Out Mechanisms,2024-07-01,Colorado Attorney General,SECTION-6-1-1306,RULE-PART-5,CPA 1.0
RULE-5-09,4 CCR 904-3 Rule 5.9,Consent After Universal Opt-Out,Governs when a Controller may obtain Consent to process after a Consumer has opted out via a Universal Opt-Out Mechanism,2024-07-01,Colorado Attorney General,SECTION-6-1-1306,RULE-PART-5,CPA 1.0
RULE-6-01,4 CCR 904-3 Rule 6.01,Authority and Purpose,Establishes authority (C.R.S. §§ 6-1-108(1) 6-1-1308 6-1-1313) and purpose for the duties of Controllers rules,2023-07-01,Colorado Attorney General,SECTION-6-1-1308,RULE-PART-6,CPA 1.0
RULE-6-02,4 CCR 904-3 Rule 6.02,Privacy Notice Principles,Sets principles that Controller privacy notices must satisfy,2023-07-01,Colorado Attorney General,SECTION-6-1-1308,RULE-PART-6,CPA 1.0
RULE-6-03,4 CCR 904-3 Rule 6.03,Privacy Notice Content,Specifies the required content of a Controller privacy notice including categories of Personal Data purposes third parties and Consumer rights,2023-07-01,Colorado Attorney General,SECTION-6-1-1308,RULE-PART-6,CPA 1.0
RULE-6-04,4 CCR 904-3 Rule 6.04,Changes to a Privacy Notice,Governs how Controllers must handle and communicate changes to a privacy notice,2023-07-01,Colorado Attorney General,SECTION-6-1-1308,RULE-PART-6,CPA 1.0
RULE-6-05,4 CCR 904-3 Rule 6.05,Loyalty Programs,Governs Bona Fide Loyalty Programs including required disclosures and Consent,2023-07-01,Colorado Attorney General,SECTION-6-1-1308,RULE-PART-6,CPA 1.0
RULE-6-06,4 CCR 904-3 Rule 6.06,Purpose Specification,Requires Controllers to specify the express purposes for which Personal Data is collected and processed,2023-07-01,Colorado Attorney General,SECTION-6-1-1308,RULE-PART-6,CPA 1.0
RULE-6-07,4 CCR 904-3 Rule 6.07,Data Minimization,Requires Personal Data collection and processing to be adequate relevant and limited to what is reasonably necessary to the specified purposes,2023-07-01,Colorado Attorney General,SECTION-6-1-1308,RULE-PART-6,CPA 1.0
RULE-6-08,4 CCR 904-3 Rule 6.08,Secondary Use,Governs processing of Personal Data for purposes not reasonably necessary to or compatible with the originally specified purposes and requires new Consent,2023-07-01,Colorado Attorney General,SECTION-6-1-1308,RULE-PART-6,CPA 1.0
RULE-6-09,4 CCR 904-3 Rule 6.09,Duty of Care,Establishes the Controller duty of care to secure Personal Data during storage and use,2023-07-01,Colorado Attorney General,SECTION-6-1-1308,RULE-PART-6,CPA 1.0
RULE-6-10,4 CCR 904-3 Rule 6.10,Duty Regarding Sensitive Data,Governs the Controller duty regarding Sensitive Data including opt-in Consent and Sensitive Data Inferences,2023-07-01,Colorado Attorney General,SECTION-6-1-1308,RULE-PART-6,CPA 1.0
RULE-6-11,4 CCR 904-3 Rule 6.11,Documentation Concerning Duties of Controllers,Requires Controllers to create and maintain documentation demonstrating compliance with their duties,2023-07-01,Colorado Attorney General,SECTION-6-1-1308,RULE-PART-6,CPA 1.0
RULE-7-01,4 CCR 904-3 Rule 7.01,Authority and Purpose,Establishes authority (C.R.S. §§ 6-1-108(1) 6-1-1303(5) 6-1-1306 6-1-1313) and purpose for the Consent rules,2023-07-01,Colorado Attorney General,SECTION-6-1-1306,RULE-PART-7,CPA 1.0
RULE-7-02,4 CCR 904-3 Rule 7.02,Required Consent,Identifies the circumstances in which a Controller must obtain Consumer Consent,2023-07-01,Colorado Attorney General,SECTION-6-1-1306,RULE-PART-7,CPA 1.0
RULE-7-03,4 CCR 904-3 Rule 7.03,Requirements for Valid Consent,Consent must be a clear affirmative act that is freely given specific informed and unambiguous and not obtained through Dark Patterns,2023-07-01,Colorado Attorney General,SECTION-6-1-1306,RULE-PART-7,CPA 1.0
RULE-7-04,4 CCR 904-3 Rule 7.04,Requests for Consent,Governs how Controllers must present requests for Consent to Consumers,2023-07-01,Colorado Attorney General,SECTION-6-1-1306,RULE-PART-7,CPA 1.0
RULE-7-05,4 CCR 904-3 Rule 7.05,Consent After Opt-Out,Governs when a Controller may request Consent after a Consumer has opted out,2023-07-01,Colorado Attorney General,SECTION-6-1-1306,RULE-PART-7,CPA 1.0
RULE-7-06,4 CCR 904-3 Rule 7.06,Consent for Children,Governs obtaining Consent for the processing of a Child's Personal Data,2023-07-01,Colorado Attorney General,SECTION-6-1-1306,RULE-PART-7,CPA 1.0
RULE-7-07,4 CCR 904-3 Rule 7.07,Refusing or Withdrawing Consent,Requires Controllers to provide an easy means for Consumers to refuse or withdraw Consent,2023-07-01,Colorado Attorney General,SECTION-6-1-1306,RULE-PART-7,CPA 1.0
RULE-7-08,4 CCR 904-3 Rule 7.08,Refreshing Consent,Governs when Controllers must refresh (re-obtain) Consumer Consent,2023-07-01,Colorado Attorney General,SECTION-6-1-1306,RULE-PART-7,CPA 1.0
RULE-7-09,4 CCR 904-3 Rule 7.09,User Interface Design Choice Architecture and Dark Patterns,Prohibits the use of Dark Patterns and governs user interface design and choice architecture used to obtain Consent,2023-07-01,Colorado Attorney General,SECTION-6-1-1306,RULE-PART-7,CPA 1.0
RULE-8-01,4 CCR 904-3 Rule 8.01,Authority and Purpose,Establishes authority (C.R.S. §§ 6-1-108(1) 6-1-1309 6-1-1313) and purpose for the Data Protection Assessment rules,2023-07-01,Colorado Attorney General,SECTION-6-1-1309,RULE-PART-8,CPA 1.0
RULE-8-02,4 CCR 904-3 Rule 8.02,Scope,Defines the processing activities that present a heightened risk of harm and require a Data Protection Assessment,2023-07-01,Colorado Attorney General,SECTION-6-1-1309,RULE-PART-8,CPA 1.0
RULE-8-03,4 CCR 904-3 Rule 8.03,Stakeholder Involvement,Requires involvement of relevant internal and external stakeholders in Data Protection Assessments,2023-07-01,Colorado Attorney General,SECTION-6-1-1309,RULE-PART-8,CPA 1.0
RULE-8-04,4 CCR 904-3 Rule 8.04,Data Protection Assessment Content,Specifies the required content of a Data Protection Assessment including benefits risks and safeguards,2023-07-01,Colorado Attorney General,SECTION-6-1-1309,RULE-PART-8,CPA 1.0
RULE-8-05,4 CCR 904-3 Rule 8.05,Timing,Governs when Data Protection Assessments must be conducted reviewed and updated,2023-07-01,Colorado Attorney General,SECTION-6-1-1309,RULE-PART-8,CPA 1.0
RULE-8-06,4 CCR 904-3 Rule 8.06,Attorney General Requests,Governs how Controllers must make Data Protection Assessments available to the Attorney General upon request,2023-07-01,Colorado Attorney General,SECTION-6-1-1309,RULE-PART-8,CPA 1.0
RULE-9-01,4 CCR 904-3 Rule 9.01,Authority and Purpose,Establishes authority (C.R.S. §§ 6-1-108(1) 6-1-1306 6-1-1309) and purpose for the Profiling rules,2023-07-01,Colorado Attorney General,SECTION-6-1-1309,RULE-PART-9,CPA 1.0
RULE-9-02,4 CCR 904-3 Rule 9.02,Scope,Defines the scope of Profiling covered including Solely Automated Human Reviewed and Human Involved Automated Processing,2023-07-01,Colorado Attorney General,SECTION-6-1-1309,RULE-PART-9,CPA 1.0
RULE-9-03,4 CCR 904-3 Rule 9.03,Profiling Opt-Out Transparency,Requires Controllers to provide transparency about Profiling and the right to opt out,2023-07-01,Colorado Attorney General,SECTION-6-1-1309,RULE-PART-9,CPA 1.0
RULE-9-04,4 CCR 904-3 Rule 9.04,Opting Out of Profiling in Furtherance of Decisions That Produce Legal or Similarly Significant Effects Concerning a Consumer,Governs the Consumer right to opt out of Profiling in furtherance of decisions that produce legal or similarly significant effects,2023-07-01,Colorado Attorney General,SECTION-6-1-1309,RULE-PART-9,CPA 1.0
RULE-9-05,4 CCR 904-3 Rule 9.05,Consent for Profiling in Furtherance of Decisions That Produce Legal or Similarly Significant Effects Concerning a Consumer,Governs when Consent is required for Profiling in furtherance of decisions that produce legal or similarly significant effects,2023-07-01,Colorado Attorney General,SECTION-6-1-1309,RULE-PART-9,CPA 1.0
RULE-9-06,4 CCR 904-3 Rule 9.06,Data Protection Assessments for Profiling,Requires and specifies Data Protection Assessments for Profiling activities,2023-07-01,Colorado Attorney General,SECTION-6-1-1309,RULE-PART-9,CPA 1.0
RULE-10-01,4 CCR 904-3 Rule 10.01,Authority and Purpose,Establishes authority (C.R.S. §§ 6-1-108(1) and 6-1-1313) and purpose for materials incorporated by reference,2023-07-01,Colorado Attorney General,SECTION-6-1-1313,RULE-PART-10,CPA 1.0
RULE-10-02,4 CCR 904-3 Rule 10.02,Web Content Accessibility Guidelines,Incorporates by reference the Web Content Accessibility Guidelines version 2.1 (June 5 2018) from the World Wide Web Consortium,2023-07-01,Colorado Attorney General,SECTION-6-1-1313,RULE-PART-10,CPA 1.0
