risk_id,title,description,functional_domain,domain,catalogs,source_document
risk_credential_theft_from_endpoints,Credential theft from endpoints,"The inability to protect cached credentials, browsers, and token stores, enabling lateral movement.",Endpoint Security & Hardening,Infrastructure & Network Security,risk,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/risk-catalog.json
risk_critical_vendor_concentration,Critical vendor concentration,"The inability to manage concentration risk in MSPs, SaaS, or critical infrastructure providers.",Vendor Risk Governance,Third-Party Risk Management,risk,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/risk-catalog.json
risk_cross_border_transfer_noncompliance,Cross-border transfer noncompliance,The inability to use required transfer mechanisms and safeguards for international data transfers.,Privacy & Regulatory Compliance,Data Privacy & Protection,risk,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/risk-catalog.json
risk_cross_site_scripting_and_client_side_attacks,Cross-site scripting and client-side attacks,"The inability to prevent XSS and client-side injection, enabling session theft and account compromise.",Application Runtime Defense,Application & Product Security,risk,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/risk-catalog.json
risk_crypto_agility_gaps,Crypto agility gaps,"The inability to update cryptographic primitives quickly (e.g., in response to vulnerabilities or PQC transition).",Cryptography & Key Management,Data Privacy & Protection,risk,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/risk-catalog.json
risk_data_confidentiality_breach_of_customer_pii,Data confidentiality breach of customer PII,"The inability to protect regulated customer data, causing legal and reputational harm.",Critical Infrastructure Protection,Infrastructure & Network Security,risk,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/risk-catalog.json
risk_data_exfiltration_undetected,Data exfiltration undetected,"The inability to detect and prevent data egress via endpoints, cloud storage, APIs, or third-party channels.",Data Loss Prevention (DLP),Data Privacy & Protection,risk,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/risk-catalog.json
risk_data_exposure_due_to_inadequate_data_minimization,Data exposure due to inadequate data minimization,"The inability to minimize collection/retention, increasing breach impact and regulatory exposure.",Data Governance & Lifecycle,Data Privacy & Protection,risk,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/risk-catalog.json
risk_data_integrity_compromise,Data integrity compromise,"The inability to detect tampering, unauthorized modification, or corruption of critical business and safety data.",Data Governance & Lifecycle,Data Privacy & Protection,risk,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/risk-catalog.json
risk_data_leakage_via_misconfiguration,Data leakage via misconfiguration,"The inability to securely configure storage (public buckets, mis-shared drives), causing unintended exposure.",Data Loss Prevention (DLP),Data Privacy & Protection,risk,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/risk-catalog.json
risk_data_loss_corruption,Data loss / corruption,The inability to maintain the confidentiality of the data (compromise) or prevent data corruption (loss).,Business Continuity & Recovery,Cyber Defense & Resilience,risk,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/risk-catalog.json
risk_ddos_at_carrier_scale,DDoS at carrier scale,The inability to mitigate large-scale DDoS impacting customer services and critical communications.,Critical Infrastructure Protection,Infrastructure & Network Security,risk,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/risk-catalog.json
risk_ddos_resilience_weakness,DDoS resilience weakness,The inability to absorb and mitigate volumetric and application-layer DDoS attacks.,Network Defense & Segmentation,Infrastructure & Network Security,risk,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/risk-catalog.json
risk_dependency_and_concentration_risk,Dependency and concentration risk,"The inability to manage systemic dependency on a single vendor, cloud region, or critical service.",Business Continuity & Recovery,Cyber Defense & Resilience,risk,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/risk-catalog.json
risk_der_distributed_asset_compromise,DER / distributed asset compromise,"The inability to secure distributed energy resources and aggregators, enabling coordinated disruption.",Critical Infrastructure Protection,Infrastructure & Network Security,risk,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/risk-catalog.json
risk_diminished_competitive_advantage,Diminished competitive advantage,"Diminished competitive advantage (e.g., loss of market share, internal dysfunction, etc.).",Enterprise Risk Management (ERM),Information Security Governance,risk,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/risk-catalog.json
risk_diminished_reputation,Diminished reputation,"Diminished brand value (e.g., tarnished reputation).",Enterprise Risk Management (ERM),Information Security Governance,risk,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/risk-catalog.json
risk_disruption_of_transportation_operations,Disruption of transportation operations,"The inability to prevent cyber disruption of scheduling, dispatch, or control systems, impacting safety and continuity.",Critical Infrastructure Protection,Infrastructure & Network Security,risk,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/risk-catalog.json
risk_dns_security_failures,DNS security failures,"The inability to protect DNS (filtering, logging, DNSSEC as applicable), enabling phishing, C2, and data exfiltration.",Network Defense & Segmentation,Infrastructure & Network Security,risk,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/risk-catalog.json
risk_emergent_properties_and_or_unintended_consequences,Emergent properties and/or unintended consequences,Emergent properties and/or unintended consequences from Artificial Intelligence & Autonomous Technologies (AAT).,Asset & Inventory Management,Infrastructure & Network Security,risk,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/risk-catalog.json
risk_endpoint_privilege_misuse,Endpoint privilege misuse,"The inability to restrict local admin rights and detect privilege abuse, enabling escalation.",Endpoint Security & Hardening,Infrastructure & Network Security,risk,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/risk-catalog.json
risk_environmental_and_safety_incident_escalation,Environmental and safety incident escalation,"The inability to detect and respond to cyber-physical events that trigger spills, releases, or safety incidents.",Critical Infrastructure Protection,Infrastructure & Network Security,risk,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/risk-catalog.json
risk_environmental_control_failures,Environmental control failures,"The inability to maintain HVAC, power, fire suppression, and environmental controls, leading to outages and damage.",Physical Environmental Security,Personnel & Physical Security,risk,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/risk-catalog.json
risk_excessive_permissions_over_provisioning,Excessive permissions (over-provisioning),"The inability to restrict access rights to the minimum necessary across systems, data, and platforms (privilege sprawl).",Entitlement and Authorization Governance,Identity and Access Management,risk,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/risk-catalog.json
risk_excessive_retention_of_personal_data,Excessive retention of personal data,The inability to enforce retention schedules and deletion obligations (data lifecycle noncompliance).,Privacy & Regulatory Compliance,Data Privacy & Protection,risk,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/risk-catalog.json
risk_expense_associated_with_managing_a_loss_event,Expense associated with managing a loss event,Financial repercussions from responding to an incident or loss.,Incident Management & Forensics,Cyber Defense & Resilience,risk,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/risk-catalog.json
risk_exposure_of_management_interfaces,Exposure of management interfaces,"The inability to restrict administrative interfaces (SSH, RDP, APIs) from untrusted networks.",Network Defense & Segmentation,Infrastructure & Network Security,risk,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/risk-catalog.json
risk_failure_to_honor_data_subject_rights,Failure to honor data subject rights,"The inability to fulfill access, deletion, correction, portability, and objection requests within required timelines.",Privacy & Regulatory Compliance,Data Privacy & Protection,risk,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/risk-catalog.json
risk_failure_to_meet_reporting_timelines,Failure to meet reporting timelines,The inability to notify regulators/customers/partners within required incident reporting timelines.,Incident Management & Forensics,Cyber Defense & Resilience,risk,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/risk-catalog.json
risk_federation_and_sso_trust_failures,Federation and SSO trust failures,"The inability to securely configure and monitor identity federation (SAML/OIDC), allowing token substitution or assertion abuse.",Access and Interaction Management,Identity and Access Management,risk,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/risk-catalog.json
risk_fines_and_judgements,Fines and judgements,Financial damages due to fines and/or judgements from statutory / regulatory / contractual non-compliance.,Enterprise Risk Management (ERM),Information Security Governance,risk,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/risk-catalog.json
risk_fourth_party_and_sub_processor_opacity,Fourth-party and sub-processor opacity,The inability to understand downstream dependencies and sub-processors that introduce hidden risk.,Vendor Risk Governance,Third-Party Risk Management,risk,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/risk-catalog.json
risk_genomic_data_exfiltration,Genomic Data Exfiltration,"The inability to protect genomic sequences and bio-manufacturing data from targeted theft, risking IP loss and biosecurity events (referenced by Bio-ISAC).15",Bio-Economy Security,Critical Infrastructure Protection,risk,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/risk-catalog.json
risk_grid_reliability_impact_from_cyber_event,Grid reliability impact from cyber event,"The inability to prevent or contain cyber events that degrade grid reliability, frequency stability, or load balancing.",Critical Infrastructure Protection,Infrastructure & Network Security,risk,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/risk-catalog.json
risk_hallucinations_and_unsafe_decision_support,Hallucinations and unsafe decision support,"The inability to control model reliability and confidence, leading to harmful business or safety decisions.",AI Governance & Safety,AI & Emerging Technology Security,risk,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/risk-catalog.json
risk_harvest_now_decrypt_later_hndl_exposure,"""Harvest Now, Decrypt Later"" (HNDL) Exposure","The inability to protect long-lived sensitive data (e.g., trade secrets, genomic data) against future decryption by quantum computers, violating secrecy lifetime requirements.89",Cryptography & Key Management,Data Privacy & Protection,risk,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/risk-catalog.json
risk_illegal_content_or_abusive_action,Illegal content or abusive action,"Disruptive content or actions that negatively affect business operations (e.g., abusive content, harmful speech, threats of violence, illegal content, etc.).",Strategy & Oversight,Information Security Governance,risk,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/risk-catalog.json
risk_improper_assignment_of_privileged_functions,Improper assignment of privileged functions,"The inability to implement least privilege (e.g., RBAC, Privileged Access Management (PAM), etc.).",Privileged Access Management (PAM),Identity and Access Management,risk,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/risk-catalog.json
risk_improper_data_disposal,Improper data disposal,"The inability to securely delete data and media (crypto-shredding, sanitization), leading to post-disposal exposure.",Cryptography & Key Management,Data Privacy & Protection,risk,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/risk-catalog.json
risk_improper_response_to_incidents,Improper response to incidents,The inability to appropriately respond to incidents in a timely manner.,Incident Management & Forensics,Cyber Defense & Resilience,risk,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/risk-catalog.json
risk_improper_third_party_personal_data_sharing,Improper third-party personal data sharing,"The inability to control and monitor onward transfers and sub-processors, violating contractual/regulatory requirements.",Privacy & Regulatory Compliance,Data Privacy & Protection,risk,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/risk-catalog.json
risk_inability_to_enforce_conditional_access,Inability to enforce conditional access,"The inability to dynamically evaluate risk signals (location, device posture, user risk) before granting access.",Entitlement and Authorization Governance,Identity and Access Management,risk,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/risk-catalog.json
risk_inability_to_investigate_prosecute_incidents,Inability to investigate / prosecute incidents,"Insufficient incident response practices that prevent investigating and/or prosecuting incidents (e.g., chain of custody corruption, insufficient evidence sources, etc.).",Incident Management & Forensics,Cyber Defense & Resilience,risk,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/risk-catalog.json
risk_inability_to_maintain_individual_accountability,Inability to maintain individual accountability,"The inability to maintain accountability (e.g., asset ownership, non‑repudiation of actions or inactions, etc.).",Entitlement and Authorization Governance,Identity and Access Management,risk,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/risk-catalog.json
risk_inability_to_maintain_situational_awareness,Inability to maintain situational awareness,"The inability to detect cybersecurity and/or privacy incidents (e.g., lack of situational awareness).",Security Operations (SecOps),Cyber Defense & Resilience,risk,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/risk-catalog.json
risk_inability_to_support_business_processes,Inability to support business processes,Insufficient cybersecurity and/or privacy practices that cannot securely support the organization's technologies & processes.,Strategy & Oversight,Information Security Governance,risk,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/risk-catalog.json
risk_inadequate_access_review_and_certification,Inadequate access review and certification,"The inability to periodically validate access appropriateness, leading to accumulation of unnecessary privileges.",Entitlement and Authorization Governance,Identity and Access Management,risk,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/risk-catalog.json
risk_inadequate_ai_red_teaming_and_evaluation,Inadequate AI red-teaming and evaluation,The inability to perform adversarial testing and safety evaluations before deployment.,Emerging Tech Defense,AI & Emerging Technology Security,risk,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/risk-catalog.json
risk_inadequate_background_screening_for_sensitive_roles,Inadequate background screening for sensitive roles,The inability to perform risk-based screening and periodic re-screening for privileged positions.,Personnel Security,Personnel & Physical Security,risk,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/risk-catalog.json
risk_inadequate_business_process_continuity_planning,Inadequate business process continuity planning,The inability to maintain manual workarounds and continuity of critical processes during technology outages.,Business Continuity & Recovery,Cyber Defense & Resilience,risk,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/risk-catalog.json
risk_inadequate_cloud_compliance_mapping,Inadequate cloud compliance mapping,The inability to map cloud controls to regulatory requirements and produce evidence for audits.,Cloud Governance & Strategy,Cloud & Platform Security,risk,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/risk-catalog.json
risk_inadequate_cloud_network_segmentation,Inadequate cloud network segmentation,"The inability to implement VPC/VNet segmentation and egress controls, enabling lateral movement and exfiltration.",Cloud Infrastructure & Network Security,Cloud & Platform Security,risk,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/risk-catalog.json
risk_inadequate_communications_management,Inadequate communications management,"The inability to manage internal/external communications, legal holds, and stakeholder coordination during incidents.",Incident Management & Forensics,Cyber Defense & Resilience,risk,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/risk-catalog.json
risk_inadequate_contract_and_sla_security_clauses,Inadequate contract and SLA security clauses,"The inability to require security, audit, incident notification, and right-to-test provisions in contracts.",Vendor Risk Governance,Third-Party Risk Management,risk,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/risk-catalog.json
risk_inadequate_control_testing_and_assurance,Inadequate control testing and assurance,"The inability to test controls and produce evidence for audits, certifications, and customers.","Policy, Compliance & Audit",Information Security Governance,risk,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/risk-catalog.json
risk_inadequate_cross_border_data_controls,Inadequate cross-border data controls,"The inability to manage data residency/transfer restrictions, increasing legal and compliance risk.",Data Governance & Lifecycle,Data Privacy & Protection,risk,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/risk-catalog.json
risk_inadequate_data_governance,Inadequate data governance,"The inability to govern data ownership, lineage, classification, retention, and access controls.",Strategy & Oversight,Information Security Governance,risk,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/risk-catalog.json
risk_inadequate_data_loss_prevention_dlp,Inadequate data loss prevention (DLP),"The inability to prevent sensitive data from leaving approved channels (email, web, USB, SaaS).",Data Loss Prevention (DLP),Data Privacy & Protection,risk,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/risk-catalog.json
risk_inadequate_dependency_provenance_verification,Inadequate dependency provenance verification,The inability to verify origin and integrity of dependencies and artifacts (SBOM/provenance).,Secure Software Development (SSDLC),AI & Emerging Technology Security,risk,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/risk-catalog.json
risk_inadequate_disaster_recovery_capability,Inadequate disaster recovery capability,The inability to recover critical systems within RTO/RPO targets following disruptive events.,Business Continuity & Recovery,Cyber Defense & Resilience,risk,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/risk-catalog.json
risk_inadequate_endpoint_patching,Inadequate endpoint patching,"The inability to patch OS and applications on endpoints promptly, increasing exploitability.",Endpoint Security & Hardening,Infrastructure & Network Security,risk,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/risk-catalog.json
risk_inadequate_enterprise_risk_governance,Inadequate enterprise risk governance,"The inability to align cybersecurity, privacy, and AI risk management with enterprise risk management (ERM) and board oversight.",Enterprise Risk Management (ERM),Information Security Governance,risk,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/risk-catalog.json
risk_inadequate_identity_lifecycle_management,Inadequate identity lifecycle management,"The inability to automate joiner/mover/leaver processes across HR, IAM, SaaS, and on-prem systems.",Identity and Entity Lifecycle Management,Identity and Access Management,risk,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/risk-catalog.json
risk_inadequate_incident_triage_and_classification,Inadequate incident triage and classification,"The inability to triage and classify incidents consistently, causing delays and mismanaged escalation.",Incident Management & Forensics,Cyber Defense & Resilience,risk,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/risk-catalog.json
risk_inadequate_internal_practices,Inadequate internal practices,Insufficient cybersecurity and/or privacy practices that cannot securely support the organization's technologies & processes.,Strategy & Oversight,Information Security Governance,risk,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/risk-catalog.json
risk_inadequate_it_ot_network_segmentation,Inadequate IT/OT network segmentation,"The inability to enforce zones and conduits between IT and OT, enabling lateral movement into control systems.",Critical Infrastructure Protection,Infrastructure & Network Security,risk,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/risk-catalog.json
risk_inadequate_metrics_and_reporting,Inadequate metrics and reporting,"The inability to produce meaningful KRIs/KPIs and executive reporting, weakening decision-making.",Security Metrics & Reporting,Information Security Governance,risk,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/risk-catalog.json
risk_inadequate_network_detection_coverage,Inadequate network detection coverage,"The inability to collect/inspect network telemetry to detect C2, scanning, and data exfiltration.",Network Defense & Segmentation,Infrastructure & Network Security,risk,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/risk-catalog.json
risk_inadequate_network_segmentation,Inadequate network segmentation,"The inability to segment networks and enforce zone boundaries, enabling lateral movement.",Network Defense & Segmentation,Infrastructure & Network Security,risk,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/risk-catalog.json
risk_inadequate_ot_asset_inventory,Inadequate OT asset inventory,"The inability to discover and manage OT assets, firmware versions, and network paths.",Critical Infrastructure Protection,Infrastructure & Network Security,risk,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/risk-catalog.json
risk_inadequate_ot_logging_and_detection,Inadequate OT logging and detection,The inability to collect OT telemetry and detect abnormal process behavior and cyber indicators.,Critical Infrastructure Protection,Infrastructure & Network Security,risk,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/risk-catalog.json
risk_inadequate_ot_resilience_and_recovery,Inadequate OT resilience and recovery,"The inability to restore OT operations and configurations after compromise (golden configs, backups, re-image).",Critical Infrastructure Protection,Infrastructure & Network Security,risk,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/risk-catalog.json
risk_inadequate_privacy_impact_assessments,Inadequate privacy impact assessments,The inability to perform DPIAs/PIAs for high-risk processing and AI/analytics initiatives.,Privacy & Regulatory Compliance,Data Privacy & Protection,risk,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/risk-catalog.json
risk_inadequate_product_security_incident_response,Inadequate product security incident response,"The inability to coordinate PSIRT processes, advisories, and customer notifications.",Secure Software Development (SSDLC),AI & Emerging Technology Security,risk,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/risk-catalog.json
