article_id,article_label,article_number,chapter_id,paragraph_count,text,source_document
ART31,Article 31,31,CH4,1,The security administration of the cross-border transfer of important data collected and generated by operators of critical information infrastructure during their operation in China shall be subject to the provisions of the Cybersecurity Law of the People's Republic of China; the administrative measures for the cross-border transfer of important data collected and generated by other data handlers during their operation in the People's Republic of China shall be formulated by the national cyberspace administration authority in collaboration with relevant departments of the State Council.,KB 2/China/Data Security Law of China.pdf
ART32,Article 32,32,CH4,2,"Any organization or individual collecting data shall adopt lawful and proper methods and shall not steal data or obtain them by other illegal means. Where any law and administrative regulation contains provisions on the purpose or scope of data collection or use, data shall be collected and used for the purpose and within the scope prescribed by such law and administrative regulation.",KB 2/China/Data Security Law of China.pdf
ART33,Article 33,33,CH4,1,"Institutions engaging in data transaction intermediary services shall, when providing their services, require the data providers to explain the source of data, examine and verify the identity of both parties to the transaction, and retain examination, verification, and transaction records.",KB 2/China/Data Security Law of China.pdf
ART34,Article 34,34,CH4,1,"Where any law and administrative regulation stipulates that administrative license shall be obtained before providing any service related to data handling, the service providers shall obtain such license in accordance with the law.",KB 2/China/Data Security Law of China.pdf
ART35,Article 35,35,CH4,1,"Where public security organs and national security organs need to consult any data in order to safeguard national security or investigate a crime in accordance with the law, they shall, in accordance with the relevant provisions of the State, undergo strict approval procedures and proceed with the matter in accordance with the law; and the relevant organizations and individuals shall render cooperation.",KB 2/China/Data Security Law of China.pdf
ART36,Article 36,36,CH4,1,"The competent authority of the People's Republic of China shall handle the request for providing any data from a foreign judicial body and law enforcement body in accordance with relevant laws and the international treaty or agreement which the People's Republic of China has concluded or acceded to, or under the principle of equality and mutual benefit. Any organization or individual within the territory of the People's Republic of China shall not provide any foreign judicial body and law enforcement body with any data stored within the territory of the People's Republic of China without the approval of the competent authority of the People's Republic of China.",KB 2/China/Data Security Law of China.pdf
ART37,Article 37,37,CH5,1,"The State shall vigorously advance the construction of e-government, increases the rationality, accuracy, and timeliness of government data, and enhance the capabilities to use data to serve economic and social development.",KB 2/China/Data Security Law of China.pdf
ART38,Article 38,38,CH5,1,"Where any state organ needs to collect or use data to perform its statutory duties, it shall do so within the scope of its statutory duties and according to the conditions and procedures prescribed in laws and administrative regulations; any data it comes to know in the course of performing its duties, including personal privacy, personal information, trade secret and confidential business information, shall be kept confidential and shall not be leaked or illegally provided to others.",KB 2/China/Data Security Law of China.pdf
ART39,Article 39,39,CH5,1,"State organs shall, in accordance with laws and administrative regulations, establish and perfect data security management systems, implement data security protection responsibilities, and ensure the security of government data.",KB 2/China/Data Security Law of China.pdf
ART40,Article 40,40,CH5,1,"Where state organs entrust others maintain and construct any government system, or to store or process government data, they shall undergo strict approval procedures, and shall supervise the entrusted parties in terms of their fulfillment of the corresponding data security protection obligations. The entrusted parties shall perform their data security protection obligations in accordance with laws, regulations and any contractual agreement, and shall not retain, use, leak or provide to others any government data without permission.",KB 2/China/Data Security Law of China.pdf
ART41,Article 41,41,CH5,1,"State organs shall promptly and accurately publish government data as required under the principles of fairness, impartiality, and convenience for the people, except where the data shall not be disclosed in accordance with the law.",KB 2/China/Data Security Law of China.pdf
ART42,Article 42,42,CH5,1,"The State shall formulate open catalogues for government data, and build a uniform and standard, interconnected and interactive, secure and controllable government data open platform, to promote the open use of government data.",KB 2/China/Data Security Law of China.pdf
ART43,Article 43,43,CH5,1,"Where organizations with public affairs management functions, as authorized by laws and regulations, conduct data handling activities in order to perform their statutory duties, this chapter shall apply.",KB 2/China/Data Security Law of China.pdf
ART44,Article 44,44,CH6,1,"When the relevant competent departments discover any major security risk in data handling activities in the course of performing their data security supervision duties, they may, according to the prescribed authority and procedures, conduct interviews with the relevant organizations and individuals, and require them to take measures for rectification to eliminate hazards.",KB 2/China/Data Security Law of China.pdf
ART45,Article 45,45,CH6,2,"Where any organization and individual fails to fulfill the data security obligations stipulated in Articles 27, 29, and 30 hereof in conducting data handling activities, relevant competent departments shall order such organization and individual to make correction, give warnings, and may impose a fine of no less than CNY50,000 but no more than CNY500,000 concurrently; the directly responsible officers and other persons directly liable may be imposed a fine of no less than CNY10,000 but no more than CNY100,000; those who refuse to make correction or cause major data leakages or other serious consequences shall be imposed a fine of no less than CNY500,000 but no more than CNY2 million, and may concurrently be ordered to suspend relevant business or stop operation for rectification, or be subject to revocation of relevant business permits or business license; and the directly responsible officers and other persons directly liable shall be imposed a fine of no less than CNY50,000 but no more than CNY200,000. Those who violate the management system for core data of the State and cause harm to the national sovereignty, security and development interests shall be imposed a fine of no less than CNY2 million but no more than CNY10 million by relevant competent departments, and shall be ordered to suspend relevant business or stop operation for rectification, or be subject to revocation of relevant business permits or business license, as appropriate; if a crime is constituted, they shall be held criminally liable in accordance with the law.",KB 2/China/Data Security Law of China.pdf
ART46,Article 46,46,CH6,1,"Those who provide any important data to a party outside the territory of the People's Republic of China in violation of Article 31 hereof shall be ordered to make correction and given warnings by relevant competent departments, and may be imposed a fine of no less than CNY100,000 but no more than CNY1 million concurrently; the directly responsible officers and other persons directly liable may be imposed a fine of no less than CNY10,000 but no more than CNY100,000. In case of serious circumstances, they shall be imposed a fine of no less than CNY1 million but no more than CNY 10 million, and may be ordered to suspend relevant business or stop operation for rectification, or be subject to revocation of relevant business permits or business license; the directly responsible officers and other persons directly liable shall be imposed a fine of no less than CNY100,000 but no more than CNY1 million.",KB 2/China/Data Security Law of China.pdf
ART47,Article 47,47,CH6,1,"Where any data transaction intermediary organization fails to perform the obligations stipulated in Article 33 hereof, relevant competent departments shall order it to make correction, confiscate any illegal income, and impose a fine of no less than one but no more than ten times the illegal income; where there is no illegal income or the illegal income is less than CNY100,000, a fine of no less than CNY100,000 but no more than CNY1 million shall be imposed, and the relevant competent departments may order such organization to suspend relevant businesses, stop its operation for rectification, or revoke the relevant business permits or business licenses; the directly responsible officers and other persons directly liable shall be imposed a fine of no less than CNY10,000 but no more than CNY100,000.",KB 2/China/Data Security Law of China.pdf
ART48,Article 48,48,CH6,2,"Those who refuse to cooperate in data access in violation of Article 35 hereof shall be ordered to make correction and given warnings and may be imposed a fine of no less than CNY50,000 but no more than CNY500,000 concurrently by relevant competent departments; their directly responsible officers and other persons directly liable shall be imposed a fine of no less than CNY10,000 but no more than CNY100,000. Those who provide any data to any foreign judicial or law enforcement body without approval of competent departments in violation of Article 36 hereof shall be given warnings, and may be imposed a fine of no less than CNY100,000 but no more than CNY1 million concurrently by relevant competent departments; their directly responsible officers and other persons directly liable may be imposed a fine of no less than CNY10,000 but no more than CNY100,000. In case of serious consequences, they shall be imposed a fine of no less than CNY1 million but no more than CNY5 million, and may be ordered to suspend relevant business or stop operation for rectification, or be subject to revocation of relevant business permits or business license; their directly responsible officers and other persons directly liable shall be imposed a fine of no less than CNY50,000 but no more than CNY500,000.",KB 2/China/Data Security Law of China.pdf
ART49,Article 49,49,CH6,1,"Where any state organ fails to perform its data security protection obligations provided for herein, the directly responsible officers and other persons directly liable shall be sanctioned in accordance with the law.",KB 2/China/Data Security Law of China.pdf
ART50,Article 50,50,CH6,1,"Where any government functionary with the duties of overseeing data security neglects his or her duties, abuses his or her powers, or engages in malpractice for selfish ends, he or she shall be sanctioned in accordance with the law.",KB 2/China/Data Security Law of China.pdf
ART51,Article 51,51,CH6,1,"Any act of stealing or illegally obtaining data, and any data handling activity that excludes or restricts competition, harms national security or public interests, or damages the legitimate rights and interests of individuals or organizations, shall be subject to punishment in accordance with the relevant laws and administrative regulations.",KB 2/China/Data Security Law of China.pdf
ART52,Article 52,52,CH6,2,"Anyone who violates this Law, causing harm to others, shall bear civil liability in accordance with the law. If anyone violates this Law, constituting a violation of public security administration, he or she shall be given a public security administration penalty in accordance with the law. If a crime is constituted, he or she shall be held criminally liable in accordance with the law.",KB 2/China/Data Security Law of China.pdf
ART53,Article 53,53,CH7,2,"For data handling activities involving state secrets, such laws and administrative regulations as the Law of the People's Republic of China on Protecting State Secrets shall apply. The data handling activities in the work of statistics and archiving, and those involving personal information shall abide by the relevant laws and administrative regulations.",KB 2/China/Data Security Law of China.pdf
ART54,Article 54,54,CH7,1,Measures for protecting military data will be separately formulated by the Central Military Commission.,KB 2/China/Data Security Law of China.pdf
ART55,Article 55,55,CH7,1,"This Law shall come into force as of September 1, 2021.",KB 2/China/Data Security Law of China.pdf
