cciparameter_id,sn,measure_id,measure,measure_type,formula,target,weightage,standard_ids,source_document
CCI-11,11,Media Sanitization Measure,Percentage (%) of media that passes sanitization procedures testing.,Effectiveness,(Number of media that passes sanitization procedures testing/total number of media disposed or released for reuse) × 100,100%,2%,PR.AA.S14,"SEBI Circular SEBI/HO/ITD-1/ITD_CSC_EXT/P/CIR/2024/113 dated August 20, 2024 — Cybersecurity and Cyber Resilience Framework (CSCRF) for SEBI Regulated Entities (REs), Version 1.0 (KB 2/India/SEBI Cybersecurity & Cyber Resilience Framework.pdf)"
CCI-12,12,Physical Security Incidents Measure,Percentage (%) of physical security incidents allowing unauthorized entry into facilities containing information systems.,Effectiveness,(Number of physical security incidents allowing unauthorized entry into facilities containing information systems/total number of physical security incidents) ×100,0%,1%,PR.AA.S10,"SEBI Circular SEBI/HO/ITD-1/ITD_CSC_EXT/P/CIR/2024/113 dated August 20, 2024 — Cybersecurity and Cyber Resilience Framework (CSCRF) for SEBI Regulated Entities (REs), Version 1.0 (KB 2/India/SEBI Cybersecurity & Cyber Resilience Framework.pdf)"
CCI-13,13,Planning Measure,Percentage of employees who get authorized access to information systems only after they sign an acknowledgement that they have read and understood confidentiality and integrity agreement.,Implementation,(Number of users who are granted system access after signing confidentiality and integrity agreement/total number of users who are granted system access) ×100,100%,1%,GV.RR.S5,"SEBI Circular SEBI/HO/ITD-1/ITD_CSC_EXT/P/CIR/2024/113 dated August 20, 2024 — Cybersecurity and Cyber Resilience Framework (CSCRF) for SEBI Regulated Entities (REs), Version 1.0 (KB 2/India/SEBI Cybersecurity & Cyber Resilience Framework.pdf)"
CCI-14,14,Personnel Security Screening Measure,Percentage (%) of individuals screened before being granted access to organizational information and information systems.,Implementation,(Number of individuals screened/total number of individuals having access to organization’s information and information systems) ×100,100%,1%,PR.AA.S10,"SEBI Circular SEBI/HO/ITD-1/ITD_CSC_EXT/P/CIR/2024/113 dated August 20, 2024 — Cybersecurity and Cyber Resilience Framework (CSCRF) for SEBI Regulated Entities (REs), Version 1.0 (KB 2/India/SEBI Cybersecurity & Cyber Resilience Framework.pdf)"
CCI-15,15,Risk Assessment Measure,"Percentage of organization’s information systems, and assets covered under risk assessment.",Implementation Measure,"(Number of organization’s information systems, and assets covered under risk assessment/Total number of organization information systems, and assets ) ×100",100%,5%,ID.RA.S2,"SEBI Circular SEBI/HO/ITD-1/ITD_CSC_EXT/P/CIR/2024/113 dated August 20, 2024 — Cybersecurity and Cyber Resilience Framework (CSCRF) for SEBI Regulated Entities (REs), Version 1.0 (KB 2/India/SEBI Cybersecurity & Cyber Resilience Framework.pdf)"
CCI-16,16,Service Acquisition Contract Measure,Percentage (%) of system and service acquisition contracts that include security requirements and/or specifications.,Implementation,(Number of system and service acquisition contracts that include security requirements and specifications/ total number of system and service acquisition contracts) ×100,100%,3%,GV.SC.S3,"SEBI Circular SEBI/HO/ITD-1/ITD_CSC_EXT/P/CIR/2024/113 dated August 20, 2024 — Cybersecurity and Cyber Resilience Framework (CSCRF) for SEBI Regulated Entities (REs), Version 1.0 (KB 2/India/SEBI Cybersecurity & Cyber Resilience Framework.pdf)"
CCI-17,17,System and Communication Protection Measure,Percentage of mobile computers and devices that perform all cryptographic operations.,Implementation,(Number of mobile computers and devices that perform all cryptographic operations/total number of mobile computers and devices) ×100,100%,1%,PR.DS.S4,"SEBI Circular SEBI/HO/ITD-1/ITD_CSC_EXT/P/CIR/2024/113 dated August 20, 2024 — Cybersecurity and Cyber Resilience Framework (CSCRF) for SEBI Regulated Entities (REs), Version 1.0 (KB 2/India/SEBI Cybersecurity & Cyber Resilience Framework.pdf)"
CCI-18,18,Risk Management,"Percentage (%) of organization information systems, and assets covered under risk management.",Effectiveness,"(Number of organization information systems, and assets covered under risk management/Total number of organization information systems, and assets ) ×100",100%,8%,GV.RM.S1; GV.RM.S2,"SEBI Circular SEBI/HO/ITD-1/ITD_CSC_EXT/P/CIR/2024/113 dated August 20, 2024 — Cybersecurity and Cyber Resilience Framework (CSCRF) for SEBI Regulated Entities (REs), Version 1.0 (KB 2/India/SEBI Cybersecurity & Cyber Resilience Framework.pdf)"
CCI-19,19,Critical Assets Identified,Percentage (%) of the critical systems identified by REs among all other IT systems.,Implementation Measure,(Number of critical systems Identified/ Total IT systems integrated with SOC) ×100,50%,9%,ID.AM.S1; ID.AM.S2,"SEBI Circular SEBI/HO/ITD-1/ITD_CSC_EXT/P/CIR/2024/113 dated August 20, 2024 — Cybersecurity and Cyber Resilience Framework (CSCRF) for SEBI Regulated Entities (REs), Version 1.0 (KB 2/India/SEBI Cybersecurity & Cyber Resilience Framework.pdf)"
CCI-20,20,CSK Events,Number of CSK reported events closed in timely manner.,Effectiveness Measure,(Total number of CSK reported events closed in 15 days/ Total number of CSK reported events to the organization)×100,100%,4%,RS.MA.S5,"SEBI Circular SEBI/HO/ITD-1/ITD_CSC_EXT/P/CIR/2024/113 dated August 20, 2024 — Cybersecurity and Cyber Resilience Framework (CSCRF) for SEBI Regulated Entities (REs), Version 1.0 (KB 2/India/SEBI Cybersecurity & Cyber Resilience Framework.pdf)"
CCI-21,21,Cybersecurity Policy Document,,,Non quantifiable measure,,4%,GV.PO.S1,"SEBI Circular SEBI/HO/ITD-1/ITD_CSC_EXT/P/CIR/2024/113 dated August 20, 2024 — Cybersecurity and Cyber Resilience Framework (CSCRF) for SEBI Regulated Entities (REs), Version 1.0 (KB 2/India/SEBI Cybersecurity & Cyber Resilience Framework.pdf)"
CCI-22,22,SOC efficacy,SOC efficacy score,Effectiveness,As specified in SOC efficacy (Annexure-N),100,5%,,"SEBI Circular SEBI/HO/ITD-1/ITD_CSC_EXT/P/CIR/2024/113 dated August 20, 2024 — Cybersecurity and Cyber Resilience Framework (CSCRF) for SEBI Regulated Entities (REs), Version 1.0 (KB 2/India/SEBI Cybersecurity & Cyber Resilience Framework.pdf)"
CCI-23,23,Automated compliance with CSCRF,Percentage (%) of standards compliance automated,Maturity measure,(Number of standards for which compliance has been automated for CSCRF compliance/Total number of CSCRF standards)×100,100%,5%,,"SEBI Circular SEBI/HO/ITD-1/ITD_CSC_EXT/P/CIR/2024/113 dated August 20, 2024 — Cybersecurity and Cyber Resilience Framework (CSCRF) for SEBI Regulated Entities (REs), Version 1.0 (KB 2/India/SEBI Cybersecurity & Cyber Resilience Framework.pdf)"
